Qty, t
10, 0.000000
11, 1.243000
12, 2.278000
13, 2.785000
14, 3.266000
15, 3.971000
16, 4.864000
17, 5.295000
18, 5.555000
19, 6.782000
20, 8.498000
21, 8.966000
22, 9.308000
23, 10.127000
24, 10.335000
25, 10.872000
26, 11.149000
27, 11.659000
28, 13.892000
29, 14.836000
30, 16.488001
31, 17.603001
32, 19.493000
33, 19.909000
34, 20.740000
35, 21.048000
36, 21.743999
37, 22.830000
38, 23.163000
39, 24.160999
40, 24.558001
41, 25.358999
42, 26.218000
43, 26.993999
44, 30.455000
45, 31.084999
46, 31.723000
47, 33.081001
48, 34.143002
49, 34.578999
50, 36.981998
