Qty, t
10, 0.000000
11, 0.513000
12, 0.867000
13, 1.704000
14, 1.909000
15, 2.452000
16, 2.723000
17, 3.216000
18, 5.468000
19, 6.395000
20, 8.003000
21, 9.107000
22, 10.933000
23, 11.340000
24, 12.190000
25, 12.489000
26, 13.152000
27, 14.201000
28, 14.520000
29, 15.520000
30, 15.913000
31, 16.701000
32, 17.577000
33, 18.364000
34, 21.597000
35, 22.193001
36, 22.813999
37, 23.771000
38, 24.455000
39, 24.712999
40, 26.499001
41, 28.912001
42, 29.628000
43, 30.000999
44, 31.722000
45, 32.098999
46, 32.477001
47, 33.686001
48, 34.641998
49, 35.426998
50, 36.042000
