Qty, t
10, 0.000000
11, 1.178000
12, 3.040000
13, 3.452000
14, 4.314000
15, 4.622000
16, 5.304000
17, 6.382000
18, 6.694000
19, 7.746000
20, 8.135000
21, 8.933000
22, 9.786000
23, 10.536000
24, 13.922000
25, 14.522000
26, 15.117000
27, 16.106001
28, 16.827999
29, 17.062000
30, 18.813000
31, 19.989000
32, 20.973000
33, 21.478001
34, 21.955000
35, 22.659000
36, 23.535999
37, 23.961000
38, 24.225000
39, 25.427999
40, 27.089001
41, 29.485001
42, 30.190001
43, 30.601999
44, 32.310001
45, 32.678001
46, 33.096001
47, 34.292999
48, 35.236000
49, 36.014999
50, 36.616001
