Qty, t
10, 0.000000
11, 0.978000
12, 1.884000
13, 2.678000
14, 6.009000
15, 6.585000
16, 7.143000
17, 8.073000
18, 8.783000
19, 9.034000
20, 10.764000
21, 11.237000
22, 11.578000
23, 12.415000
24, 12.625000
25, 13.164000
26, 13.453000
27, 13.954000
28, 16.226000
29, 17.195999
30, 18.788000
31, 19.964001
32, 20.993999
33, 21.500000
34, 21.978001
35, 22.680000
36, 23.566999
37, 23.990000
38, 24.253000
39, 25.458000
40, 27.164000
41, 29.569000
42, 30.270000
43, 30.639999
44, 32.395000
45, 32.764000
46, 33.133999
47, 34.327000
48, 35.266998
49, 36.047001
50, 36.661999
