Qty, t
10, 0.000000
11, 0.020000
12, 0.056000
13, 0.123000
14, 0.182000
15, 0.196000
16, 0.202000
17, 0.207000
18, 0.211000
19, 0.272000
20, 0.276000
21, 0.484000
22, 0.503000
23, 0.514000
24, 0.523000
25, 0.542000
26, 0.549000
27, 0.563000
28, 0.600000
29, 0.610000
30, 0.635000
31, 0.696000
32, 0.702000
33, 0.704000
34, 0.706000
35, 0.709000
36, 0.712000
37, 0.715000
38, 0.719000
39, 0.722000
40, 0.725000
41, 0.736000
42, 0.744000
43, 0.750000
44, 0.758000
45, 0.763000
46, 0.773000
47, 0.778000
48, 0.782000
49, 0.795000
50, 0.808000
51, 0.819000
52, 0.827000
53, 0.835000
54, 0.857000
55, 0.871000
56, 0.890000
57, 0.906000
58, 0.909000
59, 0.928000
60, 0.943000
