Qty, t
0, 0.000000
1, 0.024000
2, 0.027000
3, 0.035000
4, 0.041000
5, 0.083000
6, 0.128000
7, 0.130000
8, 0.131000
9, 0.175000
10, 0.179000
11, 0.223000
12, 0.267000
13, 0.268000
14, 0.312000
15, 0.314000
16, 0.358000
17, 0.403000
18, 0.435000
19, 0.442000
20, 0.491000
21, 0.502000
22, 0.513000
23, 0.558000
24, 0.581000
25, 0.586000
26, 0.592000
27, 0.608000
28, 0.626000
29, 0.630000
30, 0.674000
31, 0.692000
32, 0.695000
33, 0.742000
34, 0.786000
35, 0.795000
36, 0.806000
37, 0.855000
38, 0.902000
39, 0.905000
40, 0.927000
41, 0.971000
42, 0.976000
43, 0.978000
44, 0.980000
45, 1.028000
46, 1.033000
47, 1.080000
48, 1.085000
49, 1.088000
50, 1.092000
51, 1.096000
52, 1.100000
53, 1.142000
54, 1.156000
55, 1.160000
56, 1.203000
57, 1.205000
58, 1.247000
59, 1.249000
60, 1.290000
