Qty, t
0, 0.000000
1, 0.005000
2, 0.009000
3, 0.011000
4, 0.021000
5, 0.025000
6, 0.029000
7, 0.032000
8, 0.035000
9, 0.038000
10, 0.044000
11, 0.047000
12, 0.049000
13, 0.051000
14, 0.059000
15, 0.063000
16, 0.066000
17, 0.069000
18, 0.083000
19, 0.108000
20, 0.113000
21, 0.122000
22, 0.125000
23, 0.127000
24, 0.136000
25, 0.141000
26, 0.146000
27, 0.151000
28, 0.156000
29, 0.164000
30, 0.169000
31, 0.175000
32, 0.182000
33, 0.188000
34, 0.197000
35, 0.207000
36, 0.227000
37, 0.230000
38, 0.234000
39, 0.241000
40, 0.256000
41, 0.259000
42, 0.264000
43, 0.272000
44, 0.277000
45, 0.293000
46, 0.300000
47, 0.307000
48, 0.315000
49, 0.322000
50, 0.329000
51, 0.337000
52, 0.342000
53, 0.345000
54, 0.348000
55, 0.351000
56, 0.355000
57, 0.366000
58, 0.377000
59, 0.383000
60, 0.388000
