Qty, t
0, 0.000000
1, 0.007000
2, 0.013000
3, 0.017000
4, 0.030000
5, 0.034000
6, 0.038000
7, 0.043000
8, 0.053000
9, 0.057000
10, 0.069000
11, 0.072000
12, 0.076000
13, 0.092000
14, 0.095000
15, 0.101000
16, 0.107000
17, 0.113000
18, 0.122000
19, 0.128000
20, 0.132000
21, 0.142000
22, 0.150000
23, 0.164000
24, 0.174000
25, 0.180000
26, 0.185000
27, 0.195000
28, 0.204000
29, 0.208000
30, 0.212000
31, 0.218000
32, 0.225000
33, 0.236000
34, 0.243000
35, 0.249000
36, 0.256000
37, 0.260000
38, 0.267000
39, 0.277000
40, 0.281000
41, 0.284000
42, 0.289000
43, 0.313000
44, 0.315000
45, 0.330000
46, 0.334000
47, 0.338000
48, 0.345000
49, 0.357000
50, 0.373000
51, 0.383000
52, 0.393000
53, 0.396000
54, 0.400000
55, 0.402000
56, 0.406000
57, 0.410000
58, 0.413000
59, 0.421000
60, 0.435000
