Qty, t
0, 0.000000
1, 0.013000
2, 0.030000
3, 0.035000
4, 0.056000
5, 0.061000
6, 0.065000
7, 0.073000
8, 0.076000
9, 0.079000
10, 0.090000
11, 0.094000
12, 0.097000
13, 0.100000
14, 0.102000
15, 0.108000
16, 0.113000
17, 0.117000
18, 0.144000
19, 0.150000
20, 0.159000
21, 0.171000
22, 0.178000
23, 0.184000
24, 0.191000
25, 0.194000
26, 0.198000
27, 0.203000
28, 0.209000
29, 0.214000
30, 0.220000
31, 0.226000
32, 0.233000
33, 0.249000
34, 0.253000
35, 0.258000
36, 0.266000
37, 0.270000
38, 0.274000
39, 0.282000
40, 0.294000
41, 0.301000
42, 0.307000
43, 0.313000
44, 0.316000
45, 0.319000
46, 0.325000
47, 0.330000
48, 0.343000
49, 0.349000
50, 0.356000
51, 0.365000
52, 0.371000
53, 0.374000
54, 0.379000
55, 0.383000
56, 0.387000
57, 0.392000
58, 0.396000
59, 0.406000
60, 0.412000
