Qty, t
0, 0.000000
1, 0.018000
2, 0.023000
3, 0.033000
4, 0.046000
5, 0.050000
6, 0.057000
7, 0.065000
8, 0.111000
9, 0.115000
10, 0.299000
11, 0.310000
12, 0.316000
13, 0.326000
14, 0.334000
15, 0.340000
16, 0.344000
17, 0.349000
18, 0.358000
19, 0.373000
20, 0.379000
21, 0.386000
22, 0.393000
23, 0.398000
24, 0.403000
25, 0.407000
26, 0.411000
27, 0.417000
28, 0.421000
29, 0.425000
30, 0.431000
31, 0.438000
32, 0.447000
33, 0.451000
34, 0.454000
35, 0.477000
36, 0.500000
37, 0.503000
38, 0.506000
39, 0.510000
40, 0.517000
41, 0.520000
42, 0.523000
43, 0.527000
44, 0.531000
45, 0.534000
46, 0.537000
47, 0.547000
48, 0.558000
49, 0.565000
50, 0.569000
51, 0.574000
52, 0.581000
53, 0.587000
54, 0.593000
55, 0.595000
56, 0.599000
57, 0.604000
58, 0.608000
59, 0.615000
60, 0.620000
