Qty, t
0, 0.000000
1, 2.359000
2, 3.782000
3, 5.003000
4, 6.815000
5, 8.041000
6, 9.264000
7, 10.686000
8, 11.911000
9, 13.132000
10, 14.553000
11, 15.774000
12, 16.996000
13, 18.219000
14, 19.441999
15, 20.860001
16, 22.083000
17, 23.304001
18, 25.115999
19, 26.539000
20, 27.759001
21, 29.577999
22, 30.802000
23, 32.022999
24, 33.639999
25, 34.863998
26, 36.084999
27, 37.508999
28, 38.931000
29, 40.348999
30, 41.570999
31, 42.993000
32, 44.437000
33, 45.658001
34, 46.882000
35, 48.105999
36, 49.523998
37, 50.748001
38, 51.969002
39, 53.387001
40, 54.810001
41, 56.029999
42, 57.255001
43, 58.674000
44, 59.897999
45, 61.120998
46, 62.341000
47, 63.567001
48, 65.385002
49, 66.808998
50, 68.431000
51, 69.855003
52, 71.676003
53, 72.900002
54, 74.318001
55, 75.539001
56, 76.759003
57, 78.177002
58, 79.403999
59, 80.824997
60, 82.047997
