Qty, t
0, 0.000000
1, 1.226000
2, 2.062000
3, 2.795000
4, 3.876000
5, 4.610000
6, 5.334000
7, 6.190000
8, 6.929000
9, 7.656000
10, 8.508000
11, 9.239000
12, 9.965000
13, 10.693000
14, 11.432000
15, 12.276000
16, 13.013000
17, 13.739000
18, 14.820000
19, 15.665000
20, 16.395000
21, 17.586000
22, 18.323999
23, 19.052000
24, 20.017000
25, 20.743999
26, 21.478001
27, 22.329000
28, 23.169001
29, 24.020000
30, 24.750999
31, 25.604000
32, 26.459000
33, 27.186001
34, 27.922001
35, 28.657000
36, 29.513000
37, 30.243000
38, 30.966999
39, 31.812000
40, 32.657001
41, 33.395000
42, 34.116001
43, 34.963001
44, 35.692001
45, 36.423000
46, 37.145000
47, 37.875000
48, 38.956001
49, 39.801998
50, 40.824001
51, 41.669998
52, 42.744999
53, 43.477001
54, 44.323002
55, 45.060001
56, 45.782001
57, 46.632999
58, 47.356998
59, 48.213001
60, 48.935001
