Qty, t
0, 0.000000
1, 0.855000
2, 1.458000
3, 1.980000
4, 2.748000
5, 3.271000
6, 3.792000
7, 4.396000
8, 4.919000
9, 5.440000
10, 6.044000
11, 6.569000
12, 7.092000
13, 7.616000
14, 8.138000
15, 8.745000
16, 9.267000
17, 9.788000
18, 10.473000
19, 11.078000
20, 11.602000
21, 12.372000
22, 12.896000
23, 13.416000
24, 14.101000
25, 14.624000
26, 15.146000
27, 15.749000
28, 16.355000
29, 16.958000
30, 17.482000
31, 18.086000
32, 18.688999
33, 19.212000
34, 19.735001
35, 20.256001
36, 20.860001
37, 21.382999
38, 21.903999
39, 22.507000
40, 23.191999
41, 23.714001
42, 24.235001
43, 24.837999
44, 25.358999
45, 25.881001
46, 26.402000
47, 26.923000
48, 27.691000
49, 28.295000
50, 28.981001
51, 29.584999
52, 30.353001
53, 30.875999
54, 31.480000
55, 32.002998
56, 32.525002
57, 33.130001
58, 33.652000
59, 34.257000
60, 34.778000
