Qty, t
0, 0.000000
1, 0.200000
2, 0.350000
3, 0.491000
4, 0.681000
5, 0.820000
6, 0.963000
7, 1.117000
8, 1.257000
9, 1.394000
10, 1.544000
11, 1.681000
12, 1.817000
13, 1.958000
14, 2.093000
15, 2.253000
16, 2.390000
17, 2.532000
18, 2.719000
19, 2.879000
20, 3.018000
21, 3.197000
22, 3.333000
23, 3.473000
24, 3.648000
25, 3.787000
26, 3.926000
27, 4.083000
28, 4.240000
29, 4.392000
30, 4.529000
31, 4.682000
32, 4.832000
33, 4.975000
34, 5.117000
35, 5.258000
36, 5.414000
37, 5.552000
38, 5.689000
39, 5.843000
40, 6.002000
41, 6.142000
42, 6.286000
43, 6.443000
44, 6.581000
45, 6.718000
46, 6.861000
47, 6.997000
48, 7.204000
49, 7.357000
50, 7.524000
51, 7.676000
52, 7.857000
53, 7.997000
54, 8.153000
55, 8.290000
56, 8.432000
57, 8.584000
58, 8.722000
59, 8.882000
60, 9.017000
