Qty, t
0, 0.000000
1, 1.908000
2, 3.043000
3, 4.029000
4, 5.455000
5, 6.451000
6, 7.439000
7, 8.576000
8, 9.568000
9, 10.559000
10, 11.693000
11, 12.681000
12, 13.671000
13, 14.657000
14, 15.641000
15, 16.782000
16, 17.768000
17, 18.757000
18, 20.181999
19, 21.323999
20, 22.308001
21, 23.737000
22, 24.722000
23, 25.711000
24, 26.997000
25, 27.985001
26, 28.971001
27, 30.108000
28, 31.247000
29, 32.373001
30, 33.368000
31, 34.500000
32, 35.640999
33, 36.626999
34, 37.617001
35, 38.605999
36, 39.737000
37, 40.716999
38, 41.702999
39, 42.831001
40, 44.115002
41, 45.104000
42, 46.090000
43, 47.221001
44, 48.207001
45, 49.194000
46, 50.180000
47, 51.165001
48, 52.585999
49, 53.727001
50, 55.009998
51, 56.139999
52, 57.576000
53, 58.562000
54, 59.688999
55, 60.667000
56, 61.655998
57, 62.790001
58, 63.771999
59, 64.911003
60, 65.903000
