Qty, t
10, 0.000000
11, 0.563000
12, 0.689000
13, 0.762000
14, 0.858000
15, 0.936000
16, 1.025000
17, 1.113000
18, 1.187000
19, 1.281000
20, 1.360000
21, 1.898000
22, 2.174000
23, 2.532000
24, 2.810000
25, 3.087000
26, 3.363000
27, 3.638000
28, 4.245000
29, 4.607000
30, 5.050000
31, 5.812000
32, 6.134000
33, 6.458000
34, 6.781000
35, 7.103000
36, 7.425000
37, 7.747000
38, 8.069000
39, 8.396000
40, 8.718000
41, 9.560000
42, 10.049000
43, 10.427000
44, 10.807000
45, 11.179000
46, 11.673000
47, 12.051000
48, 12.429000
49, 12.923000
50, 13.412000
51, 15.226000
52, 15.854000
53, 16.479000
54, 17.507999
55, 18.136000
56, 18.761999
57, 19.586000
58, 20.409000
59, 21.237000
60, 21.863001
