Qty, t
10, 0.000000
11, 2.004000
12, 3.815000
13, 5.035000
14, 6.452000
15, 7.675000
16, 8.892000
17, 10.310000
18, 11.527000
19, 12.945000
20, 14.162000
21, 15.584000
22, 17.004999
23, 18.230000
24, 20.045000
25, 21.267000
26, 22.493999
27, 23.917000
28, 25.142000
29, 26.368999
30, 27.790001
31, 29.252001
32, 30.719999
33, 32.458000
34, 33.922001
35, 35.386002
36, 36.848000
37, 38.311001
38, 40.615002
39, 42.354000
40, 44.370998
41, 45.653000
42, 46.542999
43, 47.431000
44, 48.319000
45, 49.203999
46, 50.091000
47, 50.980000
48, 51.869999
49, 52.759998
50, 53.650002
51, 55.526001
52, 57.408001
53, 58.980000
54, 60.549000
55, 62.113998
56, 63.985001
57, 65.550003
58, 67.111000
59, 68.988998
60, 71.186996
