Qty, t
10, 0.000000
11, 1.194000
12, 2.045000
13, 2.776000
14, 3.864000
15, 4.589000
16, 5.316000
17, 6.170000
18, 6.898000
19, 7.629000
20, 8.472000
21, 9.359000
22, 10.510000
23, 11.274000
24, 12.168000
25, 12.937000
26, 13.695000
27, 14.587000
28, 15.348000
29, 16.230000
30, 16.985001
31, 17.955000
32, 18.924000
33, 20.091999
34, 21.066000
35, 22.041000
36, 23.018000
37, 23.987000
38, 25.558001
39, 26.733999
40, 28.110001
41, 29.594000
42, 30.486000
43, 31.382999
44, 32.277000
45, 33.178001
46, 34.069000
47, 34.962002
48, 35.855000
49, 36.751999
50, 37.646000
51, 40.508999
52, 41.825001
53, 43.151001
54, 45.098999
55, 46.419998
56, 47.735001
57, 49.368000
58, 50.995998
59, 52.631001
60, 53.953999
