Qty, t
10, 0.000000
11, 0.859000
12, 1.642000
13, 2.168000
14, 2.783000
15, 3.309000
16, 3.840000
17, 4.454000
18, 4.982000
19, 5.599000
20, 6.128000
21, 6.732000
22, 7.341000
23, 7.869000
24, 8.639000
25, 9.161000
26, 9.682000
27, 10.286000
28, 10.807000
29, 11.327000
30, 11.934000
31, 13.584000
32, 14.653000
33, 15.529000
34, 16.400000
35, 17.264000
36, 18.337999
37, 19.209000
38, 20.083000
39, 21.155001
40, 22.216000
41, 24.157000
42, 24.863001
43, 25.573999
44, 26.277000
45, 26.982000
46, 27.687000
47, 28.396999
48, 29.101999
49, 29.805000
50, 30.513000
51, 33.076000
52, 34.185001
53, 35.299000
54, 36.974998
55, 38.084999
56, 39.198002
57, 40.584000
58, 41.974998
59, 43.362000
60, 44.472000
