Qty, t
10, 0.000000
11, 0.207000
12, 0.357000
13, 0.495000
14, 0.695000
15, 0.836000
16, 0.978000
17, 1.131000
18, 1.272000
19, 1.409000
20, 1.564000
21, 1.958000
22, 2.313000
23, 2.745000
24, 3.090000
25, 3.434000
26, 3.779000
27, 4.124000
28, 4.638000
29, 5.062000
30, 5.583000
31, 7.451000
32, 8.131000
33, 8.815000
34, 9.899000
35, 10.578000
36, 11.261000
37, 12.143000
38, 13.025000
39, 13.901000
40, 14.587000
41, 15.010000
42, 15.384000
43, 15.764000
44, 16.141001
45, 16.520000
46, 16.903000
47, 17.285999
48, 17.666000
49, 18.042999
50, 18.422001
51, 19.018999
52, 19.620001
53, 20.094000
54, 20.570999
55, 21.052000
56, 21.649000
57, 22.122999
58, 22.601999
59, 23.208000
60, 23.812000
