Qty, t
10, 0.000000
11, 1.576000
12, 2.850000
13, 3.851000
14, 4.977000
15, 5.959000
16, 6.942000
17, 8.072000
18, 9.049000
19, 10.179000
20, 11.156000
21, 12.294000
22, 13.432000
23, 14.422000
24, 15.855000
25, 16.844000
26, 17.837999
27, 18.973000
28, 19.969000
29, 20.957001
30, 22.100000
31, 23.297001
32, 24.493999
33, 25.903999
34, 27.111000
35, 28.309999
36, 29.500999
37, 30.695000
38, 32.324001
39, 33.735001
40, 35.373001
41, 37.124001
42, 38.061001
43, 39.001999
44, 40.200001
45, 41.138000
46, 42.074001
47, 43.715000
48, 44.780998
49, 45.848000
50, 46.783001
51, 48.362999
52, 49.939999
53, 51.257999
54, 52.591000
55, 53.912998
56, 55.490002
57, 56.814999
58, 58.133999
59, 59.717999
60, 61.292999
