Qty, t
10, 0.000000
11, 2.035000
12, 3.873000
13, 5.117000
14, 6.563000
15, 7.801000
16, 9.043000
17, 10.479000
18, 11.728000
19, 13.171000
20, 14.413000
21, 15.859000
22, 17.340000
23, 18.591000
24, 20.447001
25, 21.709999
26, 22.969999
27, 24.429001
28, 25.694000
29, 26.952999
30, 28.406000
31, 29.896999
32, 31.389000
33, 33.181000
34, 34.688000
35, 36.193001
36, 37.689999
37, 39.183998
38, 41.516998
39, 43.294998
40, 45.341999
41, 46.769001
42, 47.827000
43, 48.884998
44, 49.930000
45, 51.098999
46, 52.164001
47, 53.216999
48, 54.640999
49, 55.818001
50, 56.868999
51, 58.780998
52, 60.687000
53, 62.292000
54, 63.888000
55, 65.492996
56, 67.396004
57, 69.002998
58, 70.603996
59, 72.510002
60, 74.426003
