Qty, t
10, 0.000000
11, 0.196000
12, 0.357000
13, 0.492000
14, 0.694000
15, 0.837000
16, 0.976000
17, 1.128000
18, 1.269000
19, 1.405000
20, 1.562000
21, 1.956000
22, 2.299000
23, 2.729000
24, 3.072000
25, 3.413000
26, 3.760000
27, 4.116000
28, 4.721000
29, 5.158000
30, 5.680000
31, 7.560000
32, 8.243000
33, 8.927000
34, 10.009000
35, 10.694000
36, 11.379000
37, 12.258000
38, 13.141000
39, 14.020000
40, 14.706000
41, 15.278000
42, 15.799000
43, 16.323999
44, 16.850000
45, 17.521999
46, 18.047001
47, 18.570000
48, 19.527000
49, 20.197001
50, 20.716000
51, 21.312000
52, 21.914000
53, 22.393000
54, 22.870001
55, 23.339001
56, 23.941000
57, 24.413000
58, 24.891001
59, 25.499001
60, 26.223000
