Qty, t
10, 0.000000
11, 1.870000
12, 3.096000
13, 4.543000
14, 5.768000
15, 6.988000
16, 8.219000
17, 9.431000
18, 11.292000
19, 12.729000
20, 14.405000
21, 15.555000
22, 17.004999
23, 18.013000
24, 19.167999
25, 20.211000
26, 21.214001
27, 22.375999
28, 23.395000
29, 24.552000
30, 25.569000
31, 26.743999
32, 27.898001
33, 28.913000
34, 30.516001
35, 31.528000
36, 32.546001
37, 33.699001
38, 34.727001
39, 35.743000
40, 37.070000
41, 39.320999
42, 40.938999
43, 42.296001
44, 43.648998
45, 44.981998
46, 46.583000
47, 47.948002
48, 49.319000
49, 50.931999
50, 52.550999
51, 53.905998
52, 55.875999
53, 56.847000
54, 58.069000
55, 59.043999
56, 60.014000
57, 61.106998
58, 62.207001
59, 63.307999
60, 64.276001
