Qty, t
10, 0.000000
11, 1.231000
12, 2.118000
13, 2.890000
14, 3.998000
15, 4.756000
16, 5.525000
17, 6.392000
18, 7.161000
19, 7.936000
20, 8.825000
21, 9.748000
22, 10.936000
23, 11.739000
24, 12.671000
25, 13.468000
26, 14.273000
27, 15.195000
28, 15.981000
29, 16.910000
30, 17.724001
31, 18.726999
32, 19.725000
33, 20.924999
34, 21.941999
35, 22.959000
36, 23.986000
37, 25.004000
38, 26.606001
39, 27.818001
40, 29.223000
41, 30.988001
42, 32.182999
43, 33.380001
44, 34.570000
45, 36.007000
46, 37.199001
47, 38.389999
48, 40.077000
49, 41.516998
50, 42.712002
51, 45.591999
52, 46.956001
53, 48.312000
54, 50.264999
55, 51.592999
56, 52.945999
57, 54.599998
58, 56.251999
59, 57.918999
60, 59.263000
