Qty, t
10, 0.000000
11, 0.862000
12, 1.650000
13, 2.194000
14, 2.807000
15, 3.340000
16, 3.874000
17, 4.495000
18, 5.023000
19, 5.640000
20, 6.170000
21, 6.779000
22, 7.384000
23, 7.911000
24, 8.684000
25, 9.208000
26, 9.733000
27, 10.339000
28, 10.864000
29, 11.387000
30, 11.995000
31, 13.654000
32, 14.719000
33, 15.591000
34, 16.464001
35, 17.330000
36, 18.393000
37, 19.267000
38, 20.131001
39, 21.202999
40, 22.266001
41, 24.424000
42, 25.344999
43, 26.267000
44, 27.191999
45, 28.330000
46, 29.254999
47, 30.177000
48, 31.737000
49, 32.869999
50, 33.793999
51, 36.629002
52, 37.740002
53, 38.851002
54, 40.520000
55, 41.631001
56, 42.743000
57, 44.130001
58, 45.516998
59, 46.903000
60, 48.014999
