Qty, t
10, 0.000000
11, 0.554000
12, 0.680000
13, 0.757000
14, 0.852000
15, 0.930000
16, 1.005000
17, 1.099000
18, 1.175000
19, 1.269000
20, 1.343000
21, 1.867000
22, 2.144000
23, 2.503000
24, 2.780000
25, 3.060000
26, 3.337000
27, 3.615000
28, 4.139000
29, 4.498000
30, 4.940000
31, 5.848000
32, 6.317000
33, 6.782000
34, 7.251000
35, 7.862000
36, 8.332000
37, 8.798000
38, 9.705000
39, 10.321000
40, 10.789000
41, 11.651000
42, 12.145000
43, 12.523000
44, 12.905000
45, 13.284000
46, 13.783000
47, 14.155000
48, 14.532000
49, 15.030000
50, 15.533000
51, 17.340000
52, 17.961000
53, 18.583000
54, 19.599001
55, 20.226999
56, 20.851000
57, 21.670000
58, 22.493000
59, 23.332001
60, 23.954000
