Qty, t
10, 0.000000
11, 0.881000
12, 1.759000
13, 2.533000
14, 5.930000
15, 6.534000
16, 7.142000
17, 8.142000
18, 8.878000
19, 9.112000
20, 10.892000
21, 12.093000
22, 13.078000
23, 13.624000
24, 14.101000
25, 14.798000
26, 15.694000
27, 16.115999
28, 16.416000
29, 17.622999
30, 19.302000
31, 19.781000
32, 20.145000
33, 20.966000
34, 21.188999
35, 21.747000
36, 22.033001
37, 22.547001
38, 24.757000
39, 25.684000
40, 27.281000
41, 28.361000
42, 30.222000
43, 30.634001
44, 31.475000
45, 31.768999
46, 32.435001
47, 33.498001
48, 33.814999
49, 34.835999
50, 35.229000
