Qty, t
10, 0.000000
11, 0.008000
12, 0.012000
13, 0.015000
14, 0.027000
15, 0.030000
16, 0.033000
17, 0.037000
18, 0.040000
19, 0.042000
20, 0.048000
21, 0.054000
22, 0.057000
23, 0.058000
24, 0.063000
25, 0.071000
26, 0.075000
27, 0.081000
28, 0.084000
29, 0.088000
30, 0.092000
31, 0.099000
32, 0.143000
33, 0.146000
34, 0.148000
35, 0.191000
36, 0.235000
37, 0.283000
38, 0.290000
39, 0.293000
40, 0.298000
41, 0.303000
42, 0.305000
43, 0.306000
44, 0.310000
45, 0.312000
46, 0.314000
47, 0.315000
48, 0.316000
49, 0.318000
50, 0.321000
51, 0.326000
52, 0.332000
53, 0.336000
54, 0.341000
55, 0.347000
56, 0.351000
57, 0.358000
58, 0.364000
59, 0.370000
60, 0.375000
