Qty, t
10, 0.000000
11, 0.006000
12, 0.010000
13, 0.013000
14, 0.026000
15, 0.028000
16, 0.032000
17, 0.035000
18, 0.039000
19, 0.042000
20, 0.047000
21, 0.054000
22, 0.057000
23, 0.060000
24, 0.069000
25, 0.072000
26, 0.075000
27, 0.081000
28, 0.084000
29, 0.088000
30, 0.091000
31, 0.098000
32, 0.101000
33, 0.143000
34, 0.146000
35, 0.149000
36, 0.152000
37, 0.195000
38, 0.239000
39, 0.245000
40, 0.252000
41, 0.257000
42, 0.258000
43, 0.260000
44, 0.261000
45, 0.263000
46, 0.265000
47, 0.266000
48, 0.268000
49, 0.269000
50, 0.275000
51, 0.288000
52, 0.298000
53, 0.301000
54, 0.304000
55, 0.306000
56, 0.309000
57, 0.313000
58, 0.315000
59, 0.320000
60, 0.323000
