Qty, t
10, 0.000000
11, 0.005000
12, 0.011000
13, 0.014000
14, 0.017000
15, 0.021000
16, 0.025000
17, 0.027000
18, 0.029000
19, 0.033000
20, 0.037000
21, 0.046000
22, 0.051000
23, 0.055000
24, 0.068000
25, 0.071000
26, 0.074000
27, 0.078000
28, 0.082000
29, 0.085000
30, 0.112000
31, 0.118000
32, 0.124000
33, 0.317000
34, 0.323000
35, 0.331000
36, 0.338000
37, 0.345000
38, 0.372000
39, 0.380000
40, 0.387000
41, 0.390000
42, 0.392000
43, 0.398000
44, 0.401000
45, 0.404000
46, 0.408000
47, 0.413000
48, 0.420000
49, 0.424000
50, 0.431000
51, 0.442000
52, 0.449000
53, 0.500000
54, 0.504000
55, 0.563000
56, 0.566000
57, 0.570000
58, 0.616000
59, 0.620000
60, 0.664000
