Qty, t
10, 0.000000
11, 0.018000
12, 0.021000
13, 0.029000
14, 0.033000
15, 0.078000
16, 0.126000
17, 0.128000
18, 0.130000
19, 0.132000
20, 0.176000
21, 0.531000
22, 0.533000
23, 0.537000
24, 0.539000
25, 0.543000
26, 0.546000
27, 0.550000
28, 0.557000
29, 0.565000
30, 0.575000
31, 0.580000
32, 0.587000
33, 0.591000
34, 0.593000
35, 0.599000
36, 0.603000
37, 0.606000
38, 0.610000
39, 0.616000
40, 0.621000
41, 0.629000
42, 0.634000
43, 0.635000
44, 0.638000
45, 0.639000
46, 0.641000
47, 0.645000
48, 0.647000
49, 0.650000
50, 0.653000
51, 0.702000
52, 0.703000
53, 0.704000
54, 0.705000
55, 0.708000
56, 0.711000
57, 0.713000
58, 0.713000
59, 0.714000
60, 0.715000
