Qty, t
10, 0.000000
11, 0.006000
12, 0.010000
13, 0.016000
14, 0.020000
15, 0.023000
16, 0.026000
17, 0.031000
18, 0.034000
19, 0.038000
20, 0.042000
21, 0.048000
22, 0.052000
23, 0.059000
24, 0.070000
25, 0.077000
26, 0.081000
27, 0.101000
28, 0.106000
29, 0.115000
30, 0.119000
31, 0.126000
32, 0.135000
33, 0.140000
34, 0.161000
35, 0.164000
36, 0.169000
37, 0.176000
38, 0.181000
39, 0.185000
40, 0.195000
41, 0.200000
42, 0.202000
43, 0.206000
44, 0.209000
45, 0.211000
46, 0.214000
47, 0.217000
48, 0.226000
49, 0.231000
50, 0.240000
51, 0.255000
52, 0.260000
53, 0.263000
54, 0.265000
55, 0.266000
56, 0.267000
57, 0.270000
58, 0.272000
59, 0.274000
60, 0.276000
