Qty, t
10, 0.000000
11, 0.217000
12, 0.218000
13, 0.220000
14, 0.226000
15, 0.270000
16, 0.318000
17, 0.320000
18, 0.366000
19, 0.414000
20, 0.418000
21, 0.424000
22, 0.428000
23, 0.430000
24, 0.433000
25, 0.435000
26, 0.437000
27, 0.440000
28, 0.441000
29, 0.449000
30, 0.454000
31, 0.509000
32, 0.513000
33, 0.519000
34, 0.525000
35, 0.529000
36, 0.531000
37, 0.534000
38, 0.541000
39, 0.545000
40, 0.549000
41, 0.611000
42, 0.618000
43, 0.621000
44, 1.124000
45, 1.144000
46, 1.168000
47, 1.176000
48, 1.180000
49, 1.187000
50, 1.191000
51, 1.205000
52, 1.207000
53, 1.209000
54, 1.212000
55, 1.214000
56, 1.215000
57, 1.217000
58, 1.218000
59, 1.220000
60, 1.221000
