Qty, t
10, 0.000000
11, 0.007000
12, 0.008000
13, 0.050000
14, 0.053000
15, 0.098000
16, 0.143000
17, 0.146000
18, 0.147000
19, 0.149000
20, 0.199000
21, 0.350000
22, 0.352000
23, 0.355000
24, 0.357000
25, 0.360000
26, 0.362000
27, 0.365000
28, 0.370000
29, 0.374000
30, 0.378000
31, 0.427000
32, 0.431000
33, 0.436000
34, 0.440000
35, 0.446000
36, 0.452000
37, 0.455000
38, 0.460000
39, 0.468000
40, 0.474000
41, 0.482000
42, 0.487000
43, 0.494000
44, 0.499000
45, 0.503000
46, 0.506000
47, 0.510000
48, 0.512000
49, 0.516000
50, 0.519000
51, 0.569000
52, 0.571000
53, 0.572000
54, 0.574000
55, 0.576000
56, 0.577000
57, 0.578000
58, 0.579000
59, 0.580000
60, 0.581000
