Qty, t
10, 0.000000
11, 0.004000
12, 0.007000
13, 0.010000
14, 0.018000
15, 0.024000
16, 0.029000
17, 0.033000
18, 0.036000
19, 0.040000
20, 0.046000
21, 0.052000
22, 0.056000
23, 0.064000
24, 0.070000
25, 0.075000
26, 0.077000
27, 0.084000
28, 0.090000
29, 0.096000
30, 0.100000
31, 0.108000
32, 0.112000
33, 0.161000
34, 0.205000
35, 0.249000
36, 0.255000
37, 0.301000
38, 0.345000
39, 0.352000
40, 0.359000
41, 0.373000
42, 0.383000
43, 0.385000
44, 0.387000
45, 0.389000
46, 0.391000
47, 0.394000
48, 0.396000
49, 0.400000
50, 0.402000
51, 0.403000
52, 0.405000
53, 0.406000
54, 0.407000
55, 0.408000
56, 0.409000
57, 0.410000
58, 0.411000
59, 0.413000
60, 0.414000
