Qty, t
10, 0.000000
11, 0.217000
12, 0.225000
13, 0.237000
14, 0.263000
15, 0.272000
16, 0.276000
17, 0.279000
18, 0.280000
19, 0.329000
20, 0.347000
21, 0.358000
22, 0.363000
23, 0.372000
24, 0.380000
25, 0.387000
26, 0.394000
27, 0.400000
28, 0.414000
29, 0.426000
30, 0.442000
31, 0.464000
32, 0.481000
33, 0.498000
34, 0.504000
35, 0.512000
36, 0.520000
37, 0.524000
38, 0.530000
39, 0.539000
40, 0.559000
41, 0.568000
42, 0.570000
43, 0.579000
44, 0.585000
45, 0.590000
46, 0.622000
47, 0.634000
48, 0.643000
49, 0.645000
50, 0.664000
51, 0.687000
52, 0.704000
53, 0.713000
54, 0.727000
55, 0.732000
56, 0.738000
57, 0.747000
58, 0.763000
59, 0.772000
60, 0.776000
