Qty, t
10, 0.000000
11, 0.023000
12, 0.038000
13, 0.049000
14, 0.064000
15, 0.077000
16, 0.091000
17, 0.108000
18, 0.118000
19, 0.132000
20, 0.145000
21, 0.156000
22, 0.176000
23, 0.185000
24, 0.213000
25, 0.223000
26, 0.231000
27, 0.242000
28, 0.265000
29, 0.276000
30, 0.288000
31, 0.340000
32, 0.388000
33, 0.396000
34, 0.399000
35, 0.456000
36, 0.504000
37, 0.556000
38, 0.572000
39, 0.580000
40, 0.589000
41, 0.604000
42, 0.607000
43, 0.610000
44, 0.614000
45, 0.624000
46, 0.630000
47, 0.634000
48, 0.637000
49, 0.640000
50, 0.646000
51, 0.655000
52, 0.666000
53, 0.671000
54, 0.679000
55, 0.685000
56, 0.692000
57, 0.697000
58, 0.702000
59, 0.708000
60, 0.713000
