Qty, t
10, 0.000000
11, 0.008000
12, 0.016000
13, 0.025000
14, 0.032000
15, 0.038000
16, 0.044000
17, 0.049000
18, 0.057000
19, 0.065000
20, 0.073000
21, 0.106000
22, 0.116000
23, 0.124000
24, 0.135000
25, 0.158000
26, 0.166000
27, 0.182000
28, 0.207000
29, 0.217000
30, 0.232000
31, 0.251000
32, 0.263000
33, 0.279000
34, 0.301000
35, 0.312000
36, 0.319000
37, 0.330000
38, 0.354000
39, 0.368000
40, 0.402000
41, 0.410000
42, 0.415000
43, 0.422000
44, 0.428000
45, 0.438000
46, 0.443000
47, 0.451000
48, 0.464000
49, 0.473000
50, 0.481000
51, 0.503000
52, 0.510000
53, 0.515000
54, 0.519000
55, 0.523000
56, 0.526000
57, 0.532000
58, 0.538000
59, 0.545000
60, 0.549000
