Qty, t
10, 0.000000
11, 0.011000
12, 0.019000
13, 0.027000
14, 0.032000
15, 0.038000
16, 0.043000
17, 0.052000
18, 0.058000
19, 0.067000
20, 0.074000
21, 0.100000
22, 0.110000
23, 0.118000
24, 0.128000
25, 0.155000
26, 0.163000
27, 0.177000
28, 0.200000
29, 0.210000
30, 0.226000
31, 0.247000
32, 0.267000
33, 0.278000
34, 0.303000
35, 0.313000
36, 0.322000
37, 0.351000
38, 0.361000
39, 0.395000
40, 0.409000
41, 0.416000
42, 0.421000
43, 0.432000
44, 0.437000
45, 0.446000
46, 0.454000
47, 0.460000
48, 0.470000
49, 0.476000
50, 0.484000
51, 0.493000
52, 0.506000
53, 0.559000
54, 0.564000
55, 0.611000
56, 0.663000
57, 0.670000
58, 0.715000
59, 0.744000
60, 0.799000
