Qty, t
10, 0.000000
11, 0.051000
12, 0.111000
13, 0.119000
14, 0.167000
15, 0.219000
16, 0.263000
17, 0.311000
18, 0.322000
19, 0.367000
20, 0.380000
21, 0.393000
22, 0.404000
23, 0.412000
24, 0.427000
25, 0.433000
26, 0.442000
27, 0.454000
28, 0.488000
29, 0.500000
30, 0.510000
31, 0.547000
32, 0.561000
33, 0.572000
34, 0.598000
35, 0.608000
36, 0.617000
37, 0.641000
38, 0.655000
39, 0.664000
40, 0.676000
41, 0.683000
42, 0.687000
43, 0.690000
44, 0.695000
45, 0.699000
46, 0.718000
47, 0.721000
48, 0.739000
49, 0.744000
50, 0.749000
51, 0.764000
52, 0.769000
53, 0.771000
54, 0.778000
55, 0.782000
56, 0.788000
57, 0.796000
58, 0.819000
59, 0.827000
60, 0.833000
