Qty, t
0, 0.000000
1, 0.816000
2, 1.053000
3, 1.346000
4, 2.282000
5, 2.816000
6, 2.980000
7, 3.523000
8, 3.721000
9, 3.799000
10, 4.272000
11, 5.019000
12, 5.256000
13, 5.379000
14, 6.002000
15, 6.175000
16, 6.299000
17, 6.679000
18, 6.978000
19, 7.258000
20, 7.473000
21, 7.850000
22, 8.159000
23, 8.344000
24, 8.506000
25, 8.741000
26, 9.536000
27, 9.694000
28, 9.795000
29, 10.228000
30, 10.765000
31, 10.929000
32, 11.060000
33, 11.328000
34, 11.407000
35, 11.617000
36, 11.720000
37, 11.897000
38, 12.587000
39, 12.914000
40, 13.780000
41, 14.161000
42, 14.744000
43, 14.886000
44, 15.169000
45, 15.285000
46, 15.503000
47, 15.863000
48, 15.992000
49, 16.351999
50, 16.493999
