Qty, t
10, 0.000000
11, 0.010000
12, 0.015000
13, 0.024000
14, 0.028000
15, 0.039000
16, 0.047000
17, 0.061000
18, 0.071000
19, 0.087000
20, 0.108000
21, 0.121000
22, 0.135000
23, 0.178000
24, 0.203000
25, 0.331000
26, 0.340000
27, 0.352000
28, 0.373000
29, 0.392000
30, 0.403000
31, 0.421000
32, 0.435000
33, 0.445000
34, 0.461000
35, 0.480000
36, 0.490000
37, 0.502000
38, 0.514000
39, 0.538000
40, 0.551000
41, 0.561000
42, 0.569000
43, 0.574000
44, 0.580000
45, 0.585000
46, 0.594000
47, 0.598000
48, 0.617000
49, 0.625000
50, 0.638000
51, 0.654000
52, 0.664000
53, 0.709000
54, 0.718000
55, 0.765000
56, 0.813000
57, 0.844000
58, 0.889000
59, 0.914000
60, 0.965000
