Qty, t
10, 0.000000
11, 1.400000
12, 1.592000
13, 1.694000
14, 2.170000
15, 2.279000
16, 2.386000
17, 2.934000
18, 3.218000
19, 3.867000
20, 4.071000
21, 4.397000
22, 4.671000
23, 4.873000
24, 5.038000
25, 5.238000
26, 5.493000
27, 5.619000
28, 5.699000
29, 6.040000
30, 6.509000
31, 6.646000
32, 6.795000
33, 7.031000
34, 7.102000
35, 7.256000
36, 7.343000
37, 7.487000
38, 8.097000
39, 8.362000
40, 8.809000
41, 9.123000
42, 9.625000
43, 9.746000
44, 9.995000
45, 10.093000
46, 10.290000
47, 10.758000
48, 10.889000
49, 11.174000
50, 11.292000
