Qty, t
10, 0.000000
11, 0.830000
12, 1.074000
13, 1.286000
14, 2.263000
15, 2.957000
16, 3.127000
17, 3.402000
18, 3.948000
19, 4.021000
20, 4.501000
21, 4.880000
22, 5.163000
23, 5.313000
24, 5.455000
25, 5.661000
26, 5.919000
27, 6.048000
28, 6.129000
29, 6.478000
30, 6.958000
31, 7.096000
32, 7.206000
33, 7.442000
34, 7.511000
35, 7.669000
36, 7.754000
37, 7.904000
38, 8.513000
39, 8.778000
40, 9.216000
41, 9.517000
42, 10.020000
43, 10.144000
44, 10.392000
45, 10.713000
46, 10.910000
47, 11.207000
48, 11.309000
49, 11.595000
50, 11.716000
