Qty, t
10, 0.000000
11, 1.228000
12, 1.429000
13, 1.535000
14, 2.021000
15, 2.133000
16, 2.261000
17, 2.609000
18, 2.877000
19, 3.401000
20, 3.574000
21, 3.805000
22, 4.248000
23, 4.464000
24, 5.413000
25, 5.586000
26, 5.753000
27, 6.072000
28, 6.285000
29, 6.365000
30, 6.850000
31, 6.987000
32, 7.095000
33, 7.327000
34, 7.395000
35, 7.552000
36, 7.640000
37, 7.789000
38, 8.404000
39, 8.667000
40, 9.107000
41, 9.410000
42, 9.962000
43, 10.202000
44, 10.443000
45, 10.538000
46, 10.735000
47, 11.032000
48, 11.132000
49, 11.427000
50, 11.549000
