Qty, t
10, 0.000000
11, 0.883000
12, 1.162000
13, 1.309000
14, 1.449000
15, 1.655000
16, 1.912000
17, 2.038000
18, 2.117000
19, 2.466000
20, 3.182000
21, 3.858000
22, 4.064000
23, 4.174000
24, 4.660000
25, 4.814000
26, 4.924000
27, 5.264000
28, 5.535000
29, 5.763000
30, 5.937000
31, 6.166000
32, 6.457000
33, 6.692000
34, 7.632000
35, 7.809000
36, 7.977000
37, 8.257000
38, 8.456000
39, 8.532000
40, 9.007000
41, 9.357000
42, 10.128000
43, 10.305000
44, 10.544000
45, 10.640000
46, 10.845000
47, 11.153000
48, 11.256000
49, 11.563000
50, 11.683000
