Qty, t
10, 0.000000
11, 0.694000
12, 0.808000
13, 1.044000
14, 1.120000
15, 1.292000
16, 1.397000
17, 1.550000
18, 2.190000
19, 2.486000
20, 2.959000
21, 3.294000
22, 3.576000
23, 3.725000
24, 3.867000
25, 4.073000
26, 4.329000
27, 4.456000
28, 4.536000
29, 4.884000
30, 5.360000
31, 6.036000
32, 6.245000
33, 6.398000
34, 6.886000
35, 6.998000
36, 7.114000
37, 7.456000
38, 7.769000
39, 8.037000
40, 8.213000
41, 8.443000
42, 8.694000
43, 9.218000
44, 10.154000
45, 10.347000
46, 10.520000
47, 10.806000
48, 11.025000
49, 11.118000
50, 11.642000
