Qty, t
10, 0.000000
11, 4.117000
12, 5.972000
13, 6.368000
14, 7.203000
15, 7.504000
16, 8.171000
17, 9.228000
18, 9.537000
19, 10.527000
20, 10.918000
21, 11.386000
22, 11.738000
23, 12.536000
24, 12.744000
25, 13.299000
26, 13.585000
27, 14.087000
28, 16.326000
29, 17.287001
30, 18.865000
31, 21.281000
32, 21.982000
33, 22.361000
34, 24.068001
35, 24.438999
36, 24.811001
37, 26.004999
38, 26.940001
39, 27.732000
40, 28.326000
41, 29.496000
42, 30.490999
43, 31.000000
44, 31.479000
45, 32.194000
46, 33.078999
47, 33.515999
48, 33.792000
49, 35.011002
50, 36.688000
