Qty, t
10, 0.000000
11, 0.526000
12, 0.895000
13, 1.762000
14, 1.984000
15, 2.555000
16, 2.850000
17, 3.387000
18, 5.744000
19, 6.721000
20, 8.382000
21, 9.549000
22, 10.527000
23, 11.028000
24, 11.507000
25, 12.203000
26, 13.086000
27, 13.508000
28, 13.763000
29, 14.969000
30, 16.643000
31, 19.065001
32, 19.763000
33, 20.132999
34, 21.860001
35, 22.230000
36, 22.606001
37, 23.806999
38, 24.745001
39, 25.525999
40, 26.118999
41, 26.922001
42, 27.732000
43, 28.490999
44, 32.223999
45, 32.987000
46, 33.706001
47, 35.008999
48, 35.862000
49, 36.183998
50, 38.715000
