Qty, t
10, 0.000000
11, 5.805000
12, 6.499000
13, 6.863000
14, 8.567000
15, 8.930000
16, 9.300000
17, 10.492000
18, 11.418000
19, 12.191000
20, 12.780000
21, 13.953000
22, 14.932000
23, 15.432000
24, 15.906000
25, 16.606001
26, 17.483999
27, 17.907000
28, 18.166000
29, 19.375000
30, 21.046000
31, 21.528999
32, 21.900000
33, 22.753000
34, 23.004999
35, 23.563999
36, 23.858999
37, 24.393999
38, 26.590000
39, 27.528999
40, 29.111000
41, 30.186001
42, 32.035999
43, 32.460999
44, 33.312000
45, 33.603001
46, 34.279999
47, 35.327000
48, 35.650002
49, 36.681999
50, 37.066002
