Qty, t
10, 0.000000
11, 0.888000
12, 1.736000
13, 2.469000
14, 5.843000
15, 6.415000
16, 6.981000
17, 7.983000
18, 8.712000
19, 8.954000
20, 10.681000
21, 11.136000
22, 11.481000
23, 12.280000
24, 12.499000
25, 13.097000
26, 13.370000
27, 13.917000
28, 16.160000
29, 17.101000
30, 18.721001
31, 19.784000
32, 21.584000
33, 22.000000
34, 22.861000
35, 23.198999
36, 23.865000
37, 24.926001
38, 25.237000
39, 26.284000
40, 26.667000
41, 29.087999
42, 29.799000
43, 30.172001
44, 31.886999
45, 32.254002
46, 32.667999
47, 33.909000
48, 34.851002
49, 35.631001
50, 36.234001
