Qty, t
10, 0.000000
11, 1.221000
12, 2.196000
13, 2.712000
14, 3.197000
15, 3.903000
16, 4.796000
17, 5.217000
18, 5.474000
19, 6.683000
20, 8.365000
21, 9.154000
22, 10.011000
23, 10.707000
24, 14.012000
25, 14.613000
26, 15.269000
27, 16.232000
28, 16.934999
29, 17.158001
30, 18.886000
31, 19.979000
32, 21.848000
33, 22.277000
34, 23.141001
35, 23.452000
36, 24.128000
37, 25.243999
38, 25.598000
39, 26.691999
40, 27.101999
41, 29.496000
42, 30.243999
43, 30.612000
44, 32.320999
45, 32.743000
46, 33.124001
47, 34.323002
48, 35.265999
49, 36.061001
50, 36.665001
