Qty, t
10, 0.000000
11, 0.539000
12, 0.897000
13, 1.783000
14, 2.005000
15, 2.569000
16, 2.862000
17, 3.370000
18, 5.678000
19, 6.665000
20, 8.316000
21, 9.487000
22, 10.476000
23, 10.984000
24, 11.465000
25, 12.164000
26, 13.054000
27, 13.480000
28, 13.740000
29, 14.960000
30, 16.642000
31, 17.422001
32, 18.250999
33, 19.051001
34, 22.403000
35, 22.995001
36, 23.601000
37, 24.589001
38, 25.322001
39, 25.569000
40, 27.260000
41, 29.652000
42, 30.353001
43, 30.725000
44, 32.445000
45, 32.835999
46, 33.213001
47, 34.412998
48, 35.409000
49, 36.206001
50, 36.858002
